Th.ros.1269-trd_A0215-Uncat-1	Th.ros.1269-trd_A0215-Uncat-1	3e-72
Th.ros.1269-trd_A0215-Uncat-1	Pi.sta.909-Psta_3340-F5-1	3e-15
Th.ros.1269-trd_A0215-Uncat-1	Ac.mir.24-Amir_2325-F5-1	5e-14
Th.ros.1269-trd_A0215-Uncat-1	Ca.Kor.254-Acid345_1524-F5-1	1e-12
Th.ros.1269-trd_A0215-Uncat-1	Ac.cel.16-Acel_1793-F5-1	2e-11
Th.ros.1269-trd_A0215-Uncat-1	Th.ind.2659-Thein_0347-Uncat-1	4e-11
Th.ros.1269-trd_A0215-Uncat-1	Th.ind.2659-Thein_0347-Uncat-1	5.3
Th.ros.1269-trd_A0215-Uncat-1	Th.ros.1269-trd_A0215-Uncat-2	2e-07
Th.ros.1269-trd_A0215-Uncat-1	Su.aci.2657-TPY_2486-Uncat-1	1e-05
Th.ros.1269-trd_A0215-Uncat-1	Ac.cel.16-Acel_1793-F5-2	7e-04
Th.ros.1269-trd_A0215-Uncat-1	Ac.cel.16-Acel_1793-F5-2	2.7
Th.ros.1269-trd_A0215-Uncat-1	Th.ros.1269-trd_A0215-Uncat-3	0.002
Th.ros.1269-trd_A0215-Uncat-1	Ca.Kor.254-Acid345_1524-F5-2	0.016
Th.ros.1269-trd_A0215-Uncat-1	Ca.Kor.254-Acid345_1524-F5-2	9.3
Th.ros.1269-trd_A0215-Uncat-1	Pi.sta.909-Psta_3340-F5-2	0.049
Th.ros.1269-trd_A0215-Uncat-1	Pi.sta.909-Psta_3340-F5-2	  144
Th.ros.1269-trd_A0215-Uncat-1	Su.aci.2657-TPY_2486-Uncat-2	0.46
Th.ros.1269-trd_A0215-Uncat-1	Su.aci.2657-TPY_2486-Uncat-2	9.4
Th.ros.1269-trd_A0215-Uncat-1	Th.ind.2659-Thein_0347-Uncat-2	  184
Th.ros.1269-trd_A0215-Uncat-2	Th.ros.1269-trd_A0215-Uncat-2	2e-65
Th.ros.1269-trd_A0215-Uncat-2	Th.ros.1269-trd_A0215-Uncat-1	2e-07
Th.ros.1269-trd_A0215-Uncat-2	Pi.sta.909-Psta_3340-F5-1	2e-05
Th.ros.1269-trd_A0215-Uncat-2	Pi.sta.909-Psta_3340-F5-1	   60
Th.ros.1269-trd_A0215-Uncat-2	Ac.mir.24-Amir_2325-F5-1	7e-05
Th.ros.1269-trd_A0215-Uncat-2	Ca.Kor.254-Acid345_1524-F5-1	9e-05
Th.ros.1269-trd_A0215-Uncat-2	Su.aci.2657-TPY_2486-Uncat-2	6e-04
Th.ros.1269-trd_A0215-Uncat-2	Th.ind.2659-Thein_0347-Uncat-2	7e-04
Th.ros.1269-trd_A0215-Uncat-2	Pi.sta.909-Psta_3340-F5-2	0.008
Th.ros.1269-trd_A0215-Uncat-2	Pi.sta.909-Psta_3340-F5-2	1.2
Th.ros.1269-trd_A0215-Uncat-2	Th.ind.2659-Thein_0347-Uncat-1	0.017
Th.ros.1269-trd_A0215-Uncat-2	Ac.cel.16-Acel_1793-F5-1	0.030
Th.ros.1269-trd_A0215-Uncat-2	Ac.cel.16-Acel_1793-F5-2	0.088
Th.ros.1269-trd_A0215-Uncat-2	Ac.cel.16-Acel_1793-F5-2	6.2
Th.ros.1269-trd_A0215-Uncat-2	Ca.Kor.254-Acid345_1524-F5-2	0.091
Th.ros.1269-trd_A0215-Uncat-2	Ca.Kor.254-Acid345_1524-F5-2	   13
Th.ros.1269-trd_A0215-Uncat-2	Th.ros.1269-trd_A0215-Uncat-3	0.51
Th.ros.1269-trd_A0215-Uncat-3	Th.ros.1269-trd_A0215-Uncat-3	9e-70
Th.ros.1269-trd_A0215-Uncat-3	Th.ind.2659-Thein_0347-Uncat-1	1e-05
Th.ros.1269-trd_A0215-Uncat-3	Su.aci.2657-TPY_2486-Uncat-2	0.001
Th.ros.1269-trd_A0215-Uncat-3	Su.aci.2657-TPY_2486-Uncat-2	   28
Th.ros.1269-trd_A0215-Uncat-3	Ac.mir.24-Amir_2325-F5-1	0.002
Th.ros.1269-trd_A0215-Uncat-3	Ac.mir.24-Amir_2325-F5-1	   18
