Th.ros.1269-trd_A0215-Uncat-1;0.0;0.02257;0.03413;0.02674;0.05525;0.01645;0.04115;0.01923;0.10000;0.01742;0.03509;0.01592;0.04484;0.01546
Th.ros.1269-trd_A0215-Uncat-2;0.02257;0.0;0.05291;0.10417;0.03509;0.02950;0.04329;0.04184;0.03378;0.03610;0.03937;0.03021;0.03610;0.02857
Th.ros.1269-trd_A0215-Uncat-3;0.03413;0.05291;0.0;0.07634;0.03333;0.04184;0.03610;0.02985;0.05291;0.04184;0.10417;0.10417;0.10417;0.03289
Su.aci.2657-TPY_2486-Uncat-1;0.02674;0.10417;0.07634;0.0;0.06329;0.02571;0.08130;0.02342;0.03817;0.02519;0.02500;0.02381;0.03509;0.02217
Su.aci.2657-TPY_2486-Uncat-2;0.05525;0.03509;0.03333;0.06329;0.0;0.03460;0.03876;0.03165;0.04566;0.03817;0.06329;0.03937;0.04630;0.04184
Ca.Kor.254-Acid345_1524-F5-1;0.01645;0.02950;0.04184;0.02571;0.03460;0.0;0.02217;0.00909;0.02451;0.00699;0.02597;0.00714;0.03247;0.00800
Ca.Kor.254-Acid345_1524-F5-2;0.04115;0.04329;0.03610;0.08130;0.03876;0.02217;0.0;0.02597;0.01502;0.02079;0.01181;0.02358;0.01144;0.01894
Th.ind.2659-Thein_0347-Uncat-1;0.01923;0.04184;0.02985;0.02342;0.03165;0.00909;0.02597;0.0;0.02203;0.00893;0.02342;0.00893;0.03937;0.00926
Th.ind.2659-Thein_0347-Uncat-2;0.10000;0.03378;0.05291;0.03817;0.04566;0.02451;0.01502;0.02203;0.0;0.02451;0.01546;0.02825;0.01546;0.02625
Ac.cel.16-Acel_1793-F5-1;0.01742;0.03610;0.04184;0.02519;0.03817;0.00699;0.02079;0.00893;0.02451;0.0;0.02500;0.00775;0.03759;0.00704
Ac.cel.16-Acel_1793-F5-2;0.03509;0.03937;0.10417;0.02500;0.06329;0.02597;0.01181;0.02342;0.01546;0.02500;0.0;0.02299;0.01242;0.01802
Pi.sta.909-Psta_3340-F5-1;0.01592;0.03021;0.10417;0.02381;0.03937;0.00714;0.02358;0.00893;0.02825;0.00775;0.02299;0.0;0.03247;0.00847
Pi.sta.909-Psta_3340-F5-2;0.04484;0.03610;0.10417;0.03509;0.04630;0.03247;0.01144;0.03937;0.01546;0.03759;0.01242;0.03247;0.0;0.02597
Ac.mir.24-Amir_2325-F5-1;0.01546;0.02857;0.03289;0.02217;0.04184;0.00800;0.01894;0.00926;0.02625;0.00704;0.01802;0.00847;0.02597;0.0
