96	Sh.one.1084-SO_2121-CheA-F7-1
97	Delfti.403-DelCs14_0593-CheA-F7-1
98	Ps.bra.948-PSEBR_a3441-CheA-F8-1
99	Ps.BSi.2916-P20439_1421-CheA-F7-1
100	Br.BTA.170-BBta_2143-CheA-F7-1
101	Bradyr.171-BRADO1822-CheA-F7-1
102	Sh.woo.1090-Swoo_1638-CheA-F6-1
103	Sa.deg.1042-Sde_3107-CheA-F7-1
104	Rh.etl.991-RHECIAT_CH0003771-CheA-F8-1
105	Ni.eut.858-Neut_1167-CheA-F7-1
106	Bo.gar.1595-BGAFAR04_0717-CheA-F2-1
107	Sh.bal.2983-SbalOS18_020100014289-CheA-F6-1
108	Oceani.3013-GU3_13270-CheA-F6-1
109	Ac.mir.24-Amir_2325-CheA-F5-1
110	De.kuz.419-Desku_1020-CheA-Uncat-1
111	Vi.cho.1319-VCM66_A1052-CheA-F7-1
112	Vi.cho.1320-VCD_000248-CheA-F7-1
113	Rh.etl.990-RHE_CH03522-CheA-F8-1
114	Vi.cho.2505-VCG_001100-CheA-F7-1
115	Bo.bur.1592-BBUBOL26_0683-CheA-F2-1
116	Ectoth.3034-ECTPHS_03497-CheA-F7-1
117	Geobac.541-GM18_1787-CheA-Uncat-1
118	Ph.dam.2204-VDA_002584-CheA-F6-1
119	Xa.alb.1342-XALc_1376-CheA-F6-1
120	Rheinh.2716-Rhein_1607-CheA-F6-1
121	Vibrio.2500-VOA_001124-CheA-F7-1
122	Ce.jap.286-CJA_2945-CheA-F8-1
123	De.des.424-Dde_2106-CheA-F8-1
124	Xa.ves.2558-XVE_2768-CheA-F8-1
125	An.deh.56-A2cp1_0638-CheA-Acf-1
126	Ph.pro.905-PBPRA0774-CheA-F8-1
127	Es.col.465-ECP_1832-CheA-F7-1
128	Es.col.1853-EcE110019_2563-CheA-F7-1
129	Es.col.1849-Ec53638_4406-CheA-F7-1
130	Es.col.1872-HMPREF9534_00628-CheA-F7-1
131	Es.col.471-c2303-CheA-F7-1
